Observación;MUESTRA;PROYECTO;TIPO PELIGRO;PELIGRO ESPECIFICO;LONGITUD;LATITUD
927;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.47929353;-7.252180376
928;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.48060671;-7.26014956
929;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.49552895;-7.267028327
930;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.48232638;-7.255251822
931;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.48751835;-7.254141872
932;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.49328851;-7.256487342
933;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.50021741;-7.257158173
934;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.48676222;-7.292438099
935;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.47387189;-7.302415665
936;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.47217544;-7.31115424
937;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Traslacional;-78.45634286;-7.309890319
938;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.45487823;-7.312792013
939;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.45405862;-7.313673022
940;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Traslacional;-78.49757044;-7.301987412
941;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;Flujo de Lodo;-79.52894985;-7.09026641
942;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-79.58323408;-7.145010963
943;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Arenamiento;-79.52492642;-7.395136633
944;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Arenamiento;-79.57296126;-7.331222684
945;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Marina;-79.57007565;-7.389432865
946;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Arenamiento;-79.64045906;-7.149921995
947;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;Flujo de Lodo;-79.52132956;-7.310447073
